tracker,sequence,frame,gt_id,old_pred_id,new_pred_id,heuristic_type,reviewed_type,review_status,reviewer,notes
sort,v_1yHWGw8DH4A_c029,13,3,8,9,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,32,3,9,8,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,36,11,3,15,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,84,14,20,25,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,96,15,26,27,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,170,14,25,41,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,177,14,41,25,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,178,13,13,45,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,179,3,8,48,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,181,8,47,46,appearance_confusion,,draft,,1 nearby GT object(s) at switch frame
sort,v_1yHWGw8DH4A_c029,182,7,40,50,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,186,4,4,51,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,190,16,30,52,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,192,8,46,53,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,202,9,39,54,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,204,11,15,55,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,211,1,1,49,re_identification_failure,,draft,,GT was unmatched for 31 frame(s) before receiving a new id
sort,v_1yHWGw8DH4A_c029,221,4,51,64,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,226,4,64,51,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,227,4,51,64,appearance_confusion,,draft,,2 nearby GT object(s) at switch frame
sort,v_1yHWGw8DH4A_c029,249,14,25,72,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,250,16,52,73,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,253,3,48,75,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,253,6,32,74,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,254,5,5,77,appearance_confusion,,draft,,2 nearby GT object(s) at switch frame
sort,v_1yHWGw8DH4A_c029,254,16,73,78,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,290,9,54,81,re_identification_failure,,draft,,GT was unmatched for 54 frame(s) before receiving a new id
deepsort,v_1yHWGw8DH4A_c029,58,14,22,23,fragmentation,,draft,,short detection/tracking gap of 2 frame(s) before a new id
deepsort,v_1yHWGw8DH4A_c029,82,14,23,22,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
deepsort,v_1yHWGw8DH4A_c029,100,15,27,31,fragmentation,,draft,,short detection/tracking gap of 2 frame(s) before a new id
deepsort,v_1yHWGw8DH4A_c029,171,7,41,43,fragmentation,,draft,,short detection/tracking gap of 2 frame(s) before a new id
deepsort,v_1yHWGw8DH4A_c029,181,8,48,41,appearance_confusion,,draft,,1 nearby GT object(s) at switch frame
deepsort,v_1yHWGw8DH4A_c029,182,8,41,48,appearance_confusion,,draft,,1 nearby GT object(s) at switch frame
deepsort,v_1yHWGw8DH4A_c029,214,1,1,66,re_identification_failure,,draft,,GT was unmatched for 34 frame(s) before receiving a new id
deepsort,v_1yHWGw8DH4A_c029,230,4,4,71,appearance_confusion,,draft,,2 nearby GT object(s) at switch frame
deepsort,v_1yHWGw8DH4A_c029,236,16,32,43,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
deepsort,v_1yHWGw8DH4A_c029,237,16,43,32,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
deepsort,v_1yHWGw8DH4A_c029,290,9,40,85,re_identification_failure,,draft,,GT was unmatched for 54 frame(s) before receiving a new id
bytetrack,v_1yHWGw8DH4A_c029,213,1,1,21,re_identification_failure,,draft,,GT was unmatched for 33 frame(s) before receiving a new id
bytetrack,v_1yHWGw8DH4A_c029,255,5,5,22,appearance_confusion,,draft,,2 nearby GT object(s) at switch frame
bytetrack,v_1yHWGw8DH4A_c029,298,9,15,23,re_identification_failure,,draft,,GT was unmatched for 62 frame(s) before receiving a new id
botsort_reid,v_1yHWGw8DH4A_c029,215,1,1,19,re_identification_failure,,draft,,GT was unmatched for 34 frame(s) before receiving a new id
botsort_reid,v_1yHWGw8DH4A_c029,292,9,14,20,re_identification_failure,,draft,,GT was unmatched for 56 frame(s) before receiving a new id
ocsort,v_1yHWGw8DH4A_c029,254,5,5,18,appearance_confusion,,draft,,2 nearby GT object(s) at switch frame
deepocsort_reid,v_1yHWGw8DH4A_c029,170,9,13,14,fragmentation,,draft,,short detection/tracking gap of 3 frame(s) before a new id
deepocsort_reid,v_1yHWGw8DH4A_c029,171,7,13,15,fragmentation,,draft,,short detection/tracking gap of 2 frame(s) before a new id
fasttrack,v_1yHWGw8DH4A_c029,170,7,16,17,fragmentation,,draft,,short detection/tracking gap of 2 frame(s) before a new id
fasttrack,v_1yHWGw8DH4A_c029,212,1,1,21,re_identification_failure,,draft,,GT was unmatched for 32 frame(s) before receiving a new id
fasttrack,v_1yHWGw8DH4A_c029,228,4,4,22,fragmentation,,draft,,short detection/tracking gap of 3 frame(s) before a new id
fasttrack,v_1yHWGw8DH4A_c029,289,9,15,23,re_identification_failure,,draft,,GT was unmatched for 53 frame(s) before receiving a new id
tracktrack,v_1yHWGw8DH4A_c029,212,1,1,18,re_identification_failure,,draft,,GT was unmatched for 31 frame(s) before receiving a new id
tracktrack,v_1yHWGw8DH4A_c029,290,9,14,20,re_identification_failure,,draft,,GT was unmatched for 54 frame(s) before receiving a new id
